iter	Passed	Remaining
0	0	794
1	1	716
2	2	680
3	2	669
4	3	670
5	3	661
6	4	649
7	5	643
8	5	632
9	6	634
10	7	640
11	7	640
12	8	639
13	9	649
14	9	650
15	10	657
16	11	667
17	12	681
18	13	691
19	14	686
20	14	680
21	15	678
22	15	676
23	16	673
24	17	667
25	17	663
26	18	659
27	18	656
28	19	652
29	20	648
30	20	646
31	21	645
32	22	651
33	22	652
34	23	653
35	24	652
36	24	650
37	25	647
38	26	646
39	27	648
40	27	652
41	28	656
42	29	655
43	30	653
44	30	650
45	31	648
46	31	646
47	32	644
48	33	643
49	33	641
50	34	638
51	34	636
52	35	634
53	36	634
54	37	635
55	37	634
56	38	633
57	38	632
58	39	631
59	40	631
60	41	631
61	41	634
62	42	635
63	43	633
64	43	632
65	44	630
66	45	628
67	45	626
68	46	626
69	47	625
70	47	623
71	48	621
72	48	620
73	49	618
74	50	617
75	50	616
76	51	617
77	52	617
78	52	616
79	53	616
80	54	614
81	54	613
82	55	609
83	55	609
84	56	609
85	57	612
86	58	611
87	58	610
88	59	609
89	60	608
90	60	606
91	61	605
92	61	603
93	62	601
94	62	599
95	63	597
96	64	595
97	64	594
98	65	592
99	65	591
100	66	590
101	67	590
102	67	589
103	68	588
104	68	587
105	69	586
106	70	585
107	71	586
108	72	589
109	72	590
110	73	588
111	74	586
112	74	584
113	75	583
114	75	581
115	76	579
116	76	577
117	77	575
118	77	574
119	78	572
120	78	570
121	78	567
122	79	566
123	79	564
124	80	563
125	81	564
126	81	563
127	82	562
128	83	561
129	83	560
130	84	560
131	85	560
132	86	560
133	86	561
134	87	561
135	88	560
136	88	558
137	89	557
138	89	556
139	90	554
140	90	553
141	91	550
142	91	549
143	92	548
144	92	546
145	93	545
146	93	543
147	94	542
148	94	541
149	95	540
150	96	540
151	96	539
152	97	538
153	97	537
154	98	536
155	99	535
156	99	535
157	100	534
158	100	533
159	101	531
160	101	529
161	102	529
162	103	529
163	103	528
164	104	529
165	105	529
166	105	528
167	106	527
168	107	528
169	108	528
170	109	528
171	109	527
172	110	526
173	110	525
174	111	524
175	111	523
176	112	522
177	112	521
178	113	519
179	113	518
180	114	517
181	114	516
182	115	514
183	115	513
184	116	512
185	116	511
186	117	512
187	118	512
188	119	511
189	119	510
190	120	509
191	120	508
192	121	508
193	122	509
194	124	512
195	124	511
196	125	510
197	125	509
198	126	508
199	126	506
200	127	505
201	127	504
202	128	503
203	128	502
204	129	501
205	129	500
206	130	499
207	130	498
208	131	497
209	131	495
210	132	495
211	133	495
212	134	495
213	134	494
214	135	494
215	135	493
216	136	492
217	137	493
218	138	493
219	139	492
220	139	491
221	140	490
222	140	489
223	141	488
224	141	487
225	142	486
226	142	485
227	143	484
228	143	483
229	144	482
230	144	481
231	145	480
232	145	479
233	146	478
234	146	477
235	147	476
236	147	476
237	148	475
238	149	474
239	149	474
240	150	473
241	150	472
242	151	471
243	151	470
244	152	469
245	152	468
246	153	467
247	153	465
248	154	465
249	154	464
250	155	463
251	155	462
252	156	461
253	156	460
254	157	459
255	157	458
256	158	457
257	158	456
258	159	455
259	159	454
260	160	453
261	160	453
262	161	452
263	161	451
264	162	450
265	163	450
266	163	449
267	164	448
268	164	448
269	165	447
270	166	446
271	166	446
272	167	446
273	168	446
274	168	445
275	169	444
276	170	443
277	170	442
278	171	441
279	171	441
280	172	440
281	172	439
282	173	438
283	173	437
284	174	436
285	174	435
286	175	434
287	175	433
288	176	433
289	176	432
290	177	431
291	177	431
292	178	430
293	179	430
294	179	429
295	180	428
296	180	428
297	181	427
298	182	427
299	183	427
300	183	426
301	184	426
302	184	425
303	185	424
304	185	423
305	186	422
306	186	422
307	187	421
308	187	420
309	188	419
310	188	418
311	189	417
312	189	416
313	190	415
314	190	415
315	191	414
316	192	413
317	192	413
318	193	412
319	193	412
320	194	411
321	195	410
322	195	410
323	196	409
324	197	409
325	197	409
326	198	408
327	199	407
328	199	407
329	200	406
330	200	405
331	201	404
332	201	403
333	202	403
334	202	402
335	203	401
336	203	400
337	204	399
338	204	399
339	205	398
340	205	397
341	206	396
342	206	395
343	207	395
344	208	394
345	208	394
346	209	393
347	209	393
348	210	392
